ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.SYSTEM.COM.Local SW,0,1,0,1,int,1,7,"0,2",1
fm.SYSTEM.COM.MASTER TUNE,1,1,1,1,int,1,7,"0,20",10
fm.SYSTEM.COM.MASTER TUNE(SYSTEM-8),2,2,2,2,int,2,4,"0,200",100
fm.SETUP.ARP.DUMMY,2621440,1,4,1,int,1,7,"0,1",0
fm.SETUP.SCAT.DUMMY,2883584,1,5,1,int,1,7,"0,9",0
fm.SYNTH.COM.VOLUME,4194304,2,6,2,int,2,4,"0,255",128
fm.SYNTH.COM.TRANSPOSE,4194306,1,8,1,int,1,7,"0,11",0
fm.SYNTH.COM.TEMPO,4194307,3,9,3,int,3,4,"0,2600",880
fm.PATCH.LFO.MODULATOR WAVEFORM,6291456,2,12,2,int,2,4,"0,5",0
fm.PATCH.LFO.(LFO FADE TIME),6291458,2,14,2,int,2,4,"0,255",0
fm.PATCH.LFO.MODULATOR RATE,6291460,2,16,2,int,2,4,"0,255",0
fm.PATCH.LFO.MODULATOR VCO DEPTH,6291462,2,18,2,int,2,4,"0,255",128
fm.PATCH.LFO.MODULATOR VCF DEPTH,6291464,2,20,2,int,2,4,"0,255",128
fm.PATCH.LFO.(LFO AMP DEPTH),6291466,2,22,2,int,2,4,"0,255",128
fm.PATCH.LFO.ENV TRIG,6291468,2,24,2,int,2,4,"0,2",2
fm.PATCH.OSC1.(OSC1 WAVE),6291470,2,26,2,int,2,4,"0,5",0
fm.PATCH.OSC1.VCO PULSE WIDTH,6291472,2,28,2,int,2,4,"0,255",0
fm.PATCH.OSC1.VCO PULSE WIDTH MOD,6291474,2,30,2,int,2,4,"0,5",0
fm.PATCH.OSC1.VCO RANGE,6291476,2,32,2,int,2,4,"0,5",2
fm.PATCH.OSC1.(OSC1 CROSS MOD),6291478,2,34,2,int,2,4,"0,255",0
fm.PATCH.OSC2.(OSC2 WAVE),6291480,2,36,2,int,2,4,"0,5",0
fm.PATCH.OSC2.(OSC2 COLOR),6291482,2,38,2,int,2,4,"0,255",0
fm.PATCH.OSC2.(OSC2 MOD),6291484,2,40,2,int,2,4,"0,5",0
fm.PATCH.OSC2.(OSC2 RANGE),6291486,2,42,2,int,2,4,"0,5",0
fm.PATCH.OSC2.(OSC2 FINE TUNE),6291488,2,44,2,int,2,4,"0,255",128
fm.PATCH.OSC2.(OSC2 RING),6291490,2,46,2,int,2,4,"0,0",0
fm.PATCH.OSC2.(OSC2 SYNC),6291492,2,48,2,int,2,4,"0,0",0
fm.PATCH.OSC2.(OSC2 COARSE TUNE),6291494,2,50,2,int,2,4,"0,22",11
fm.PATCH.MIX.MIXER SQR,6291496,2,52,2,int,2,4,"0,255",255
fm.PATCH.MIX.MIXER SAW,6291498,2,54,2,int,2,4,"0,255",0
fm.PATCH.MIX.MIXER SUB OSC,6291500,2,56,2,int,2,4,"0,255",0
fm.PATCH.MIX.MIXER NOISE,6291502,2,58,2,int,2,4,"0,255",0
fm.PATCH.MIX.SUB OSC TYPE,6291504,2,60,2,int,2,4,"0,2",1
fm.PATCH.MIX.(MIX NOISE TYPE),6291506,2,62,2,int,2,4,"0,0",0
fm.PATCH.PIT.(PITCH ENV),6291508,2,64,2,int,2,4,"0,255",128
fm.PATCH.PIT.(PITCH ATTACK),6291510,2,66,2,int,2,4,"0,255",0
fm.PATCH.PIT.(PITCH DECAY),6291512,2,68,2,int,2,4,"0,255",0
fm.PATCH.FLT.VCF FREQ,6291514,2,70,2,int,2,4,"0,255",255
fm.PATCH.FLT.(FILTER LPF TYPE),6291516,2,72,2,int,2,4,"0,0",0
fm.PATCH.FLT.VCF RESONANCE,6291518,2,74,2,int,2,4,"0,255",0
fm.PATCH.FLT.(FILTER HPF CUTOFF),6291520,2,76,2,int,2,4,"0,255",0
fm.PATCH.FLT.VCF ENV,6291522,2,78,2,int,2,4,"0,255",128
fm.PATCH.FLT.VCF ATTACK,6291524,2,80,2,int,2,4,"0,255",0
fm.PATCH.FLT.VCF DECAY,6291526,2,82,2,int,2,4,"0,255",0
fm.PATCH.FLT.VCF SUSTAIN,6291528,2,84,2,int,2,4,"0,255",255
fm.PATCH.FLT.VCF RELEASE,6291530,2,86,2,int,2,4,"0,255",0
fm.PATCH.FLT.VCF KEY FOLLOW,6291532,2,88,2,int,2,4,"0,255",128
fm.PATCH.AMP.VCA ATTACK,6291534,2,90,2,int,2,4,"0,255",0
fm.PATCH.AMP.VCA DECAY,6291536,2,92,2,int,2,4,"0,255",0
fm.PATCH.AMP.VCA SUSTAIN,6291538,2,94,2,int,2,4,"0,255",255
fm.PATCH.AMP.VCA RELEASE,6291540,2,96,2,int,2,4,"0,255",0
fm.PATCH.AMP.VCA TONE,6291542,2,98,2,int,2,4,"0,255",128
fm.PATCH.EFX.EFX CRUSHER,6291544,2,100,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX REVERB LEVEL,6291546,2,102,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX DELAY LEVEL,6291548,2,104,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX DELAY TIME,6291550,2,106,2,int,2,4,"0,255",0
fm.PATCH.CTRL.PORTAMENTO TIME,6291552,2,108,2,int,2,4,"0,255",0
fm.PATCH.CTRL.PORTAMENTO MODE,6291554,2,110,2,int,2,4,"0,2",0
fm.PATCH.CTRL.VCA MODE,6291556,2,112,2,int,2,4,"0,1",1
fm.PATCH.CTRL.BEND RANGE,6291558,2,114,2,int,2,4,"0,23",1
fm.PATCH.CTRL.(MOD ASIGN),6291560,2,116,2,int,2,4,"0,127",0
fm.PATCH.CTRL.TEMPO SYNC,6291562,2,118,2,int,2,4,"0,1",0
fm.PATCH.EXTEND.MOD ID 1,6291564,2,120,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD ID 2,6291566,2,122,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD ID 3,6291568,2,124,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 1,6291570,2,126,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 2,6291572,2,128,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 3,6291574,2,130,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.PATCH LEVEL,6291576,2,132,2,int,2,4,"0,255",128
