ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.SYSTEM.COM.OCTAVE,6291456,1,0,1,int,1,7,"-3,3",0
fm.SYSTEM.COM.HOLD,6291457,1,1,1,int,1,7,"0,1",0
fm.PATCH.PARTIAL[0].WG COARSE TUNE,0,1,2,1,int,1,7,"0,72",36
fm.PATCH.PARTIAL[0].WG FINE TUNE,1,1,3,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].WG PITCH KF,2,1,4,1,int,1,7,"0,16",11
fm.PATCH.PARTIAL[0].WG MOD LFO,3,1,5,1,int,1,7,"0,3",1
fm.PATCH.PARTIAL[0].WG MOD ENV,4,1,6,1,int,1,7,"0,2",1
fm.PATCH.PARTIAL[0].WG MOD BEND,5,1,7,1,int,1,7,"0,2",1
fm.PATCH.PARTIAL[0].WG WAVEFORM,6,1,8,1,int,1,7,"0,1",0
fm.PATCH.PARTIAL[0].WG PCM WAVE,7,1,9,1,int,1,7,"0,127",0
fm.PATCH.PARTIAL[0].WG PW,8,1,10,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].WG PW VELO,9,1,11,1,int,1,7,"0,14",7
fm.PATCH.PARTIAL[0].WG PW LFO SEL,10,1,12,1,int,1,7,"0,5",2
fm.PATCH.PARTIAL[0].WG PW LFO D,11,1,13,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].WG PW AFTER,12,1,14,1,int,1,7,"0,14",7
fm.PATCH.PARTIAL[0].TVF CUTOFF,13,1,15,1,int,1,7,"0,100",60
fm.PATCH.PARTIAL[0].TVF RESO,14,1,16,1,int,1,7,"0,30",0
fm.PATCH.PARTIAL[0].TVF KEY FLW,15,1,17,1,int,1,7,"0,14",7
fm.PATCH.PARTIAL[0].TVF B POINT,16,1,18,1,int,1,7,"0,127",27
fm.PATCH.PARTIAL[0].TVF B LEVEL,17,1,19,1,int,1,7,"0,14",7
fm.PATCH.PARTIAL[0].TVF ENV DPTH,18,1,20,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVF ENV VELO,19,1,21,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVF ENV DKF,20,1,22,1,int,1,7,"0,4",0
fm.PATCH.PARTIAL[0].TVF ENV TKF,21,1,23,1,int,1,7,"0,4",0
fm.PATCH.PARTIAL[0].TVF ENV T1,22,1,24,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVF ENV T2,23,1,25,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVF ENV T3,24,1,26,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVF ENV T4,25,1,27,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVF ENV T5,26,1,28,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVF ENV L1,27,1,29,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVF ENV L2,28,1,30,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVF ENV L3,29,1,31,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVF ENV SUSL,30,1,32,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVF ENV ENDL,31,1,33,1,int,1,7,"0,1",0
fm.PATCH.PARTIAL[0].TVF MOD LFO SEL,32,1,34,1,int,1,7,"0,5",2
fm.PATCH.PARTIAL[0].TVF MOD LFO D,33,1,35,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVF MOD AFTER,34,1,36,1,int,1,7,"0,14",7
fm.PATCH.PARTIAL[0].TVA LEVEL,35,1,37,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVA VELO,36,1,38,1,int,1,7,"0,100",60
fm.PATCH.PARTIAL[0].TVA B POINT,37,1,39,1,int,1,7,"0,127",27
fm.PATCH.PARTIAL[0].TVA B LEVEL,38,1,40,1,int,1,7,"0,12",12
fm.PATCH.PARTIAL[0].TVA ENV T1,39,1,41,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVA ENV T2,40,1,42,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVA ENV T3,41,1,43,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVA ENV T4,42,1,44,1,int,1,7,"0,100",50
fm.PATCH.PARTIAL[0].TVA ENV T5,43,1,45,1,int,1,7,"0,100",0
fm.PATCH.PARTIAL[0].TVA ENV L1,44,1,46,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVA ENV L2,45,1,47,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVA ENV L3,46,1,48,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVA ENV SUSL,47,1,49,1,int,1,7,"0,100",100
fm.PATCH.PARTIAL[0].TVA ENV ENDL,48,1,50,1,int,1,7,"0,1",0
fm.PATCH.PARTIAL[0].TVA ENV VELO,49,1,51,1,int,1,7,"0,4",0
fm.PATCH.PARTIAL[0].TVA ENV TKF,50,1,52,1,int,1,7,"0,4",0
fm.PATCH.PARTIAL[0].TVA MOD LFO,51,1,53,1,int,1,7,"0,5",4
fm.PATCH.PARTIAL[0].TVA MOD LFOD,52,1,54,1,int,1,7,"0,100",0
