ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.stp.soundMode,2097152,1,0,1,int,1,7,"0,1",0
fm.stp.pfmBankMsb,2097153,1,1,1,int,1,7,"0,127",85
fm.stp.pfmBankLsb,2097154,1,2,1,int,1,7,"0,127",0
fm.stp.pfmPc,2097155,1,3,1,int,1,7,"0,127",0
fm.stp.patBankMsb,2097156,1,4,1,int,1,7,"0,127",87
fm.stp.patBankLsb,2097157,1,5,1,int,1,7,"0,127",0
fm.stp.patPc,2097158,1,6,1,int,1,7,"0,127",0
fm.stp.rhyBankMsb,2097159,1,7,1,int,1,7,"0,127",86
fm.stp.rhyBankLsb,2097160,1,8,1,int,1,7,"0,127",0
fm.stp.rhyPc,2097161,1,9,1,int,1,7,"0,127",0
fm.stp.mfx1Sw,2097162,1,10,1,int,1,7,"0,1",1
fm.stp.mfx2Sw,2097163,1,11,1,int,1,7,"0,1",1
fm.stp.mfx3Sw,2097164,1,12,1,int,1,7,"0,1",1
fm.stp.choSw,2097165,1,13,1,int,1,7,"0,1",1
fm.stp.revSw,2097166,1,14,1,int,1,7,"0,1",1
fm.stp.ifxSw,2097167,1,15,1,int,1,7,"0,1",1
fm.stp.transpose,2097170,1,18,1,int,1,7,"59,70",64
fm.stp.octave,2097171,1,19,1,int,1,7,"61,67",64
fm.stp.arpSw,2097177,1,25,1,int,1,7,"0,1",0
fm.stp.chordSw,2097193,1,41,1,int,1,7,"0,1",0
fm.sys.com.masterTune,4194304,4,42,4,int,4,4,"24,2024",1024
fm.sys.com.masterKeyShift,4194308,1,46,1,int,1,7,"40,88",64
fm.sys.com.MASTER LEVEL,4194309,1,47,1,int,1,7,"0,127",127
fm.sys.com.scaleTuneSw,4194310,1,48,1,int,1,7,"0,1",1
fm.sys.com.patRemain,4194311,1,49,1,int,1,7,"0,1",0
fm.sys.com.pfmCtrlCh,4194313,1,51,1,int,1,7,"0,16",15
fm.sys.com.patRxTxCh,4194314,1,52,1,int,1,7,"0,15",0
fm.sys.com.scaleTuneC,4194316,1,54,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneC#,4194317,1,55,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneD,4194318,1,56,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneD#,4194319,1,57,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneE,4194320,1,58,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneF,4194321,1,59,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneF#,4194322,1,60,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneG,4194323,1,61,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneG#,4194324,1,62,1,int,1,7,"0,127",64
fm.sys.com.scaleTuneA,4194325,1,63,1,int,1,7,"0,127",64
