ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.SYSTEM.COM.LOCAL SW,0,1,0,1,int,1,7,"0,2",1
fm.SYSTEM.COM.MASTER TUNE,1,1,1,1,int,1,7,"0,20",10
fm.SYSTEM.EFX.DELAY TYPE,786432,1,2,1,int,1,7,"0,2",0
fm.SYSTEM.EFX.DELAY TAP TIME,786433,1,2,1,int,1,7,"0,100",50
fm.SYSTEM.EFX.DELAY FEEDBACK,786434,1,2,1,int,1,7,"0,100",60
fm.SYSTEM.EFX.DELAY LPF,786435,1,2,1,int,1,7,"0,14",7
fm.SYSTEM.EFX1.REVERB TYPE,786560,1,2,1,int,1,7,"0,4",4
fm.SYSTEM.EFX1.REVERB TIME,786561,1,2,1,int,1,7,"0,99",30
fm.SYSTEM.EFX1.REVERB PRE DELAY,786562,1,2,1,int,1,7,"0,100",20
fm.SYSTEM.EFX1.REVERB HPF,786563,1,2,1,int,1,7,"0,17",3
fm.SYSTEM.EFX1.REVERB LPF,786564,1,2,1,int,1,7,"0,14",13
fm.SYSTEM.EFX1.REVERB DENSITY,786565,1,2,1,int,1,7,"0,10",10
fm.SYSTEM.EFX2.CRUSHER TYPE,786688,1,2,1,int,1,7,"0,127",1
fm.SETUP.ARP.ARPEGGIO,2621440,1,2,1,int,1,7,"0,1",0
fm.SETUP.ARP.ARP TYPE,2621441,1,3,1,int,1,7,"0,5",0
fm.SETUP.ARP.ARP STEP,2621442,1,4,1,int,1,7,"0,5",0
fm.SETUP.SCAT.SCATTER TYPE,2883584,1,5,1,int,1,7,"0,9",0
fm.SETUP.SCAT.SCATTER DEPTH,2883585,1,6,1,int,1,7,"0,14",7
fm.SETUP.SCAT.CTRL1 (LPF CUTOFF),2883586,2,7,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL2 (HPF CUTOFF),2883588,2,9,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL3 (RESO),2883590,2,11,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL4 (COLOR),2883592,2,13,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL5 (PORTAMENTO),2883594,2,15,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL6 (CRUSHER),2883596,2,17,2,int,2,4,"0,200",100
fm.SETUP.SCAT.CTRL7 (CROSS MOD),2883598,2,19,2,int,2,4,"0,200",100
fm.SYNTH.COM.MASTER VOLUME,4194304,2,21,2,int,2,4,"0,255",128
fm.SYNTH.COM.KEY TRANSPOSE,4194306,1,23,1,int,1,7,"0,11",0
fm.SYNTH.COM.TEMPO,4194307,3,24,3,int,3,4,"0,2600",800
fm.PATCH.LFO.LFO WAVE,6291456,2,27,2,int,2,4,"0,5",0
fm.PATCH.LFO.LFO FADE TIME,6291458,2,29,2,int,2,4,"0,255",0
fm.PATCH.LFO.LFO RATE,6291460,2,31,2,int,2,4,"0,255",0
fm.PATCH.LFO.LFO PITCH DEPTH,6291462,2,33,2,int,2,4,"0,255",128
fm.PATCH.LFO.LFO FILTER DEPTH,6291464,2,35,2,int,2,4,"0,255",128
fm.PATCH.LFO.LFO AMP DEPTH,6291466,2,37,2,int,2,4,"0,255",128
fm.PATCH.LFO.LFO KEY TRIG,6291468,2,39,2,int,2,4,"0,1",0
fm.PATCH.OSC1.OSC1 WAVE,6291470,2,41,2,int,2,4,"0,5",0
fm.PATCH.OSC1.OSC1 COLOR,6291472,2,43,2,int,2,4,"0,255",0
fm.PATCH.OSC1.OSC1 MOD,6291474,2,45,2,int,2,4,"0,5",0
fm.PATCH.OSC1.OSC1 RANGE,6291476,2,47,2,int,2,4,"0,5",0
fm.PATCH.OSC1.OSC1 CROSS MOD,6291478,2,49,2,int,2,4,"0,255",0
fm.PATCH.OSC2.OSC2 WAVE,6291480,2,51,2,int,2,4,"0,5",0
fm.PATCH.OSC2.OSC2 COLOR,6291482,2,53,2,int,2,4,"0,255",0
fm.PATCH.OSC2.OSC2 MOD,6291484,2,55,2,int,2,4,"0,5",0
fm.PATCH.OSC2.OSC2 RANGE,6291486,2,57,2,int,2,4,"0,5",0
fm.PATCH.OSC2.OSC2 FINE TUNE,6291488,2,59,2,int,2,4,"0,255",128
fm.PATCH.OSC2.OSC2 RING,6291490,2,61,2,int,2,4,"0,1",0
fm.PATCH.OSC2.OSC2 SYNC,6291492,2,63,2,int,2,4,"0,1",0
fm.PATCH.OSC2.OSC2 COARSE TUNE,6291494,2,65,2,int,2,4,"0,22",11
fm.PATCH.MIX.MIX OSC1,6291496,2,67,2,int,2,4,"0,255",128
fm.PATCH.MIX.MIX OSC2,6291498,2,69,2,int,2,4,"0,255",0
fm.PATCH.MIX.MIX SUB OSC,6291500,2,71,2,int,2,4,"0,255",0
fm.PATCH.MIX.MIX NOISE,6291502,2,73,2,int,2,4,"0,255",0
fm.PATCH.MIX.MIX SUB OSC TYPE,6291504,2,75,2,int,2,4,"0,1",1
fm.PATCH.MIX.MIX NOISE TYPE,6291506,2,77,2,int,2,4,"0,1",1
fm.PATCH.PIT.PITCH ENV,6291508,2,79,2,int,2,4,"0,255",128
fm.PATCH.PIT.PITCH ATTACK,6291510,2,81,2,int,2,4,"0,255",0
fm.PATCH.PIT.PITCH DECAY,6291512,2,83,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER LPF CUTOFF,6291514,2,85,2,int,2,4,"0,255",255
fm.PATCH.FLT.FILTER LPF TYPE,6291516,2,87,2,int,2,4,"0,1",1
fm.PATCH.FLT.FILTER RESONANCE,6291518,2,89,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER HPF CUTOFF,6291520,2,91,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER ENV,6291522,2,93,2,int,2,4,"0,255",128
fm.PATCH.FLT.FILTER ATTACK,6291524,2,95,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER DECAY,6291526,2,97,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER SUSTAIN,6291528,2,99,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER RELEASE,6291530,2,101,2,int,2,4,"0,255",0
fm.PATCH.FLT.FILTER KEY FOLLOW,6291532,2,103,2,int,2,4,"0,255",128
fm.PATCH.AMP.AMP ATTACK,6291534,2,105,2,int,2,4,"0,255",0
fm.PATCH.AMP.AMP DECAY,6291536,2,107,2,int,2,4,"0,255",0
