PresetParser,PluginId,ProgramName,BankPath,Hash,LastUpdated
Arturia_AnalogLab3,1097621810,Epikeys,Factory,Bav7Ow==,
Arturia_Arp2600,1095913523,Slave01,Factory,dghxow==,
Arturia_B3,1416588887,June Morning,Factory,lxG8bQ==,
Arturia_BuchlaEasel,1114981729,Sample Shake'n Hold,Factory,mHMoUw==,
Arturia_Clavinet,1131176310,Rebirth One,Factory,Be3ULQ==,
Arturia_CMI,1129138550,82 Disco,Factory,6OEBUQ==,
Arturia_CS80,1129535027,Ngiculela,Factory,UJ1aXw==,
Arturia_DX7,1148729137,Rom1B 30-HARP 2,Factory,RgNgCQ==,
Arturia_Farfisa,1180791398,Crunch Lead Knee,Factory,zxu1NA==,
Arturia_Jup8,1247105075,Cabinet Gruessel,Factory,2h5gwA==,
Arturia_M12Filter,1298220649,Sub Riser,Factory,Ubu3cQ==,
Arturia_Matrix12,1298232370,Snail Bass,Factory,YyZNMg==,
Arturia_MiniFilter,1298744937,Patternizer,Factory,f+hd3A==,
Arturia_MiniV3,1296649779,Up Resonant,Factory,90tBIA==,
Arturia_Modular,1297040435,Mini Lead,Factory,JPwDZw==,
Arturia_Piano,1349083502,Pop Grand,Templates,aUTQLQ==,
Arturia_Piano2,1349083442,Japanese Init,Factory,0VKfSA==,
Arturia_Pigments,1264677937,I Heart Overdrive,Factory,UAGYSA==,
Arturia_Pre1973,1347565363,Ballad Female Vocal,Mono,P5m7ig==,
Arturia_Prophet,1347571507,Sunday Night,Factory,OKzfKA==,
Arturia_SEM,1329746738,Space 1999 Lead,Factory,sRcdOA==,
Arturia_SEMFilter,1330857577,Bass Boost,Factory,N8ALAQ==,
Arturia_Solina,1399811122,No Fool Here,Factory,GesTAQ==,
Arturia_Stage73,1400136039,Chorus Me,Factory,UNEcIQ==,
Arturia_Synclavier,1400464236,Nostalclav,Factory,tJ2ecg==,
Arturia_TridAPre,1414676818,Ballad Female Vocal,Stereo,0n6AQg==,
Arturia_V76Pre,1413827653,Just Drive,Stereo,wamVyA==,
Arturia_VoxContinental,1450145842,Tikyverb,Factory,YNRqnw==,
Arturia_Wurli,1465209394,Wurlie Jazz,Factory,JiQzdw==,
Audiority_BigGoat,1194668084,Super Bright,00 - Factory,2g+nxA==,
Audiority_BlueFace,1194668409,Blended Crunch,00 - Factory,HBnxoA==,
Audiority_Deleight,1198272631,Phasing Tails,00 - Factory/Reverberant,pyVtgg==,
